Unique_City_ID,City,County,State_Abbr,Zip,State
oak_grovechristianky,Oak Grove,Christian,KY,42262.0,Kentucky
jarvisburgcurritucknc,Jarvisburg,Currituck,NC,27947.0,North Carolina
mcminnvilleyamhillor,McMinnville,Yamhill,OR,97128.0,Oregon
union_townshiperiepa,Union Township,Erie,PA,,Pennsylvania
oshkoshwinnebagowi,Oshkosh,Winnebago,WI,54904.0,Wisconsin
garrettellistx,Garrett,Ellis,TX,,Texas
winnebagowinnebagoil,Winnebago,Winnebago,IL,61088.0,Illinois
snowshoepocahontaswv,Snowshoe,Pocahontas,WV,26209.0,West Virginia
bald_eagle_townshipclintonpa,Bald Eagle Township,Clinton,PA,,Pennsylvania
mayesvillesumtersc,Mayesville,Sumter,SC,29104.0,South Carolina
brightonfranklinny,Brighton,Franklin,NY,,New York
clay_townshipbutlerpa,Clay Township,Butler,PA,,Pennsylvania
bryn_mawr_skywaykingwa,Bryn Mawr-Skyway,King,WA,,Washington
nelsonbuffalowi,Nelson,Buffalo,WI,54756.0,Wisconsin
otter_lakelapeermi,Otter Lake,Lapeer,MI,48464.0,Michigan
south_bostonhalifaxva,South Boston,Halifax,VA,24592.0,Virginia
east_glenvilleschenectadyny,East Glenville,Schenectady,NY,,New York
lanarkcarrollil,Lanark,Carroll,IL,61046.0,Illinois
oxfordjohnsonia,Oxford,Johnson,IA,52322.0,Iowa
kenovawaynewv,Kenova,Wayne,WV,25530.0,West Virginia
lewistownmifflinpa,Lewistown,Mifflin,PA,17044.0,Pennsylvania
plainvillenorfolkma,Plainville,Norfolk,MA,2762.0,Massachusetts
freeportwaltonfl,Freeport,Walton,FL,32439.0,Florida
albanygreenwi,Albany,Green,WI,53502.0,Wisconsin
cablechampaignoh,Cable,Champaign,OH,43009.0,Ohio
avila_beachsan_luis_obispoca,Avila Beach,San Luis Obispo,CA,93424.0,California
west_whittier_los_nietoslos_angelesca,West Whittier-Los Nietos,Los Angeles,CA,,California
polktonansonnc,Polkton,Anson,NC,28135.0,North Carolina
brodheadsvillemonroepa,Brodheadsville,Monroe,PA,18322.0,Pennsylvania
dubuquedubuqueia,Dubuque,Dubuque,IA,52003.0,Iowa
vernon_centerblue_earthmn,Vernon Center,Blue Earth,MN,56090.0,Minnesota
colbyclarkwi,Colby,Clark,WI,54421.0,Wisconsin
madridhoustonal,Madrid,Houston,AL,,Alabama
alfredyorkme,Alfred,York,ME,4002.0,Maine
wanamassamonmouthnj,Wanamassa,Monmouth,NJ,,New Jersey
vintongalliaoh,Vinton,Gallia,OH,45686.0,Ohio
wadesvilleposeyin,Wadesville,Posey,IN,47638.0,Indiana
mercer_townshipbutlerpa,Mercer Township,Butler,PA,,Pennsylvania
samsongenevaal,Samson,Geneva,AL,36477.0,Alabama
flintvillelincolntn,Flintville,Lincoln,TN,37335.0,Tennessee
bee_springedmonsonky,Bee Spring,Edmonson,KY,42207.0,Kentucky
morganorleansvt,Morgan,Orleans,VT,5853.0,Vermont
mccalmont_townshipjeffersonpa,Mccalmont Township,Jefferson,PA,,Pennsylvania
harrison_citywestmorelandpa,Harrison City,Westmoreland,PA,15636.0,Pennsylvania
north_gardenalbemarleva,North Garden,Albemarle,VA,22959.0,Virginia
gibsonvilleguilfordnc,Gibsonville,Guilford,NC,27249.0,North Carolina
bronwoodterrellga,Bronwood,Terrell,GA,39826.0,Georgia
oppcovingtonal,Opp,Covington,AL,36467.0,Alabama
heritage_creekjeffersonky,Heritage Creek,Jefferson,KY,,Kentucky
streetmanfreestonetx,Streetman,Freestone,TX,75859.0,Texas
labadiefranklinmo,Labadie,Franklin,MO,63055.0,Missouri
morvenbrooksga,Morven,Brooks,GA,31638.0,Georgia
delancoburlingtonnj,Delanco,Burlington,NJ,,New Jersey
steubenvillejeffersonoh,Steubenville,Jefferson,OH,43953.0,Ohio
